class,cap-diameter,stem-width,stem-height,weight
poisonous,12.08,16.07,11.13,107
edible,5.11,10.49,6.35,184
poisonous,4.61,12.25,7.08,97
poisonous,3.38,2.74,3.83,19
edible,1.35,2.3,4.84,111
poisonous,8.01,11.56,11.51,76
edible,3.62,3.52,5.7,193
edible,4.15,3.53,5.87,25
edible,1.61,1.92,5.02,107
poisonous,1.25,5.16,3.09,126
edible,3.58,3.04,5.24,79
edible,7.99,10.27,6.91,92
edible,5.46,9.61,5.21,121
edible,8.68,14.81,10.73,104
poisonous,13.39,27.1,4.2,108
edible,7.0,13.36,5.93,156
edible,1.4,1.85,5.89,135
edible,6.51,18.01,5.85,154
edible,7.62,11.45,9.19,57
poisonous,2.87,7.69,4.55,6
poisonous,12.54,14.72,10.84,92
edible,7.31,8.34,3.37,162
poisonous,1.44,1.59,4.64,42
poisonous,3.76,3.22,3.89,134
poisonous,4.71,0.0,0.0,196
poisonous,4.52,7.02,4.35,192
poisonous,4.7,9.15,7.7,25
edible,11.01,18.67,9.26,165
poisonous,4.72,0.0,0.0,62
poisonous,4.23,4.04,8.61,26
poisonous,19.06,28.47,6.27,93
edible,4.95,8.93,8.22,53
edible,6.97,9.63,5.44,63
poisonous,4.24,11.88,4.24,174
poisonous,5.54,15.85,5.46,192
poisonous,2.26,2.75,4.25,19
poisonous,3.2,4.32,5.69,194
edible,1.49,2.12,5.59,194
edible,4.99,4.36,6.42,179
poisonous,0.7,0.97,4.51,194
edible,3.94,8.21,6.82,55
poisonous,3.05,0.0,0.0,112
poisonous,6.98,13.52,10.62,59
poisonous,1.28,1.36,3.65,68
poisonous,0.68,0.79,3.61,135
poisonous,9.37,30.78,10.56,55
poisonous,2.6,8.85,5.55,139
edible,4.7,7.66,4.81,25
poisonous,4.49,4.82,7.25,77
poisonous,7.19,17.82,6.56,171
edible,13.17,20.48,7.46,22
poisonous,7.65,11.96,4.65,136
edible,7.3,10.05,5.96,93
poisonous,3.89,5.44,3.87,64
poisonous,1.05,2.63,4.68,18
poisonous,4.31,0.0,0.0,13
edible,4.55,10.2,5.0,94
edible,10.63,60.53,16.12,57
poisonous,7.98,8.81,3.86,134
poisonous,24.32,48.57,6.17,88
poisonous,3.58,6.63,4.54,96
poisonous,7.39,12.38,10.73,115
poisonous,8.58,18.61,6.47,192
edible,6.0,23.27,10.48,176
poisonous,7.84,11.06,12.2,12
poisonous,9.52,10.74,11.46,179
edible,2.05,4.24,5.92,39
edible,15.37,17.05,9.4,85
edible,11.88,26.64,7.76,168
poisonous,7.19,13.65,10.56,54
poisonous,5.16,6.36,7.04,108
edible,6.07,6.43,6.15,136
edible,6.74,14.4,5.34,6
poisonous,11.16,28.31,8.68,138
poisonous,1.64,2.62,1.84,58
poisonous,9.49,19.96,10.27,110
poisonous,6.63,14.47,6.5,8
poisonous,6.59,11.48,4.4,58
poisonous,8.56,14.45,7.71,195
edible,9.79,12.96,8.74,150
poisonous,1.12,2.34,4.51,48
poisonous,5.47,14.27,1.47,166
edible,11.31,16.68,11.28,194
edible,1.57,1.59,5.45,18
poisonous,4.99,5.17,5.51,99
edible,6.4,8.14,5.12,52
poisonous,7.74,17.14,15.87,19
edible,12.87,17.29,9.88,194
poisonous,2.2,2.9,5.76,44
edible,13.06,17.69,10.4,86
edible,15.96,17.12,2.7,115
poisonous,5.02,11.83,5.89,57
poisonous,4.45,0.0,0.0,28
edible,9.05,21.62,7.81,158
poisonous,3.33,4.8,5.48,192
poisonous,17.64,37.67,5.02,128
edible,8.89,22.0,7.34,45
poisonous,18.51,44.61,6.04,161
poisonous,1.5,3.41,3.18,19
