instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,2011-01-01,1,0,1,0,Sunday,0,Few clouds,8.520016,0.363625,4216.77271967688,0.160446,985
2,2011-01-02,1,0,1,0,Monday,0,Few clouds,9.446944,0.353739,2347.7621248763,0.248539,801
3,2011-01-03,1,0,1,0,Tuesday,1,Clear,1.425472,0.189405,365.603755636187,0.248309,1349
4,2011-01-04,1,0,1,0,Wednesday,1,Clear,1.6,0.212122,1215.31364869629,0.160296,1562
5,2011-01-05,1,0,1,0,Thursday,1,Clear,2.893936,0.22927,364.548070855551,0.1869,1600
6,2011-01-06,1,0,1,0,Friday,1,,1.808704,0.233209,721.429861564471,0.0895652,1606
7,2011-01-07,1,0,1,0,Saturday,1,Few clouds,1.433056,0.208839,618.505461922065,0.168726,1510
8,2011-01-08,1,0,1,0,Sunday,0,Few clouds,-0.0800000000000001,0.162254,824.361739221961,0.266804,959
9,2011-01-09,1,0,1,0,Monday,0,Clear,-1.360016,0.116175,355.326209271211,0.36195,822
10,2011-01-10,1,0,1,0,Tuesday,1,Clear,-0.760016,0.150888,543.863578717789,0.223267,1321
11,2011-01-11,1,0,1,0,Wednesday,1,Few clouds,0.116368,0.191464,2219.31008275218,0.122132,1263
12,2011-01-12,1,0,1,0,Thursday,1,Clear,0.290896,0.160473,1292.07326947972,0.304627,1162
13,2011-01-13,1,0,1,0,Friday,1,Clear,-0.0800000000000001,0.150883,489.702173728328,0.301,1406
14,2011-01-14,1,0,1,0,Saturday,1,Clear,-0.278239999999999,0.188413,836.694999769914,0.126548,1421
15,2011-01-15,1,0,1,0,Sunday,0,Few clouds,3.199984,0.248112,618.773398461914,0.157963,1248
16,2011-01-16,1,0,1,0,Monday,0,Clear,3.120016,0.234217,547.625814477539,0.188433,1204
17,2011-01-17,1,0,1,1,Tuesday,0,,,0.176771,834.668212890625,0.194017,1000
18,2011-01-18,1,0,1,0,Wednesday,1,Few clouds,2.400016,0.232333,5512.61728949032,0.146775,683
19,2011-01-19,1,0,1,0,Thursday,1,Few clouds,,0.298422,3026.94449771584,0.208317,1650
20,2011-01-20,1,0,1,0,Friday,1,Few clouds,4.560016,0.25505,839.854419939154,0.195904,1927
21,2011-01-21,1,0,1,0,Saturday,1,Clear,0.52,0.157833,436.496008402858,0.353242,1543
22,2011-01-22,1,0,1,0,Sunday,0,Clear,-5.1617408,0.0790696,256,0.17197,981
23,2011-01-23,1,0,1,0,Monday,0,Clear,-3.3669584,0.0988391,363.098575681737,0.2466,986
24,2011-01-24,1,0,1,0,Tuesday,1,Clear,-3.3252176,0.11793,584.707433093929,0.15833,1416
25,2011-01-25,1,0,1,0,Wednesday,1,Few clouds,2.726944,0.234526,1448.83718704732,0.129796,1985
26,2011-01-26,1,0,1,0,Thursday,1,Partialy cloudy,2.44,0.2036,5533.96508789063,,506
27,2011-01-27,1,0,1,0,Friday,1,Clear,1.36,0.2197,2234.03930664063,0.113837,431
28,2011-01-28,1,0,1,0,Saturday,1,Few clouds,1.766944,0.223317,3955.36844265907,0.1233,1167
29,2011-01-29,1,0,1,0,Sunday,0,Clear,1.433056,0.212126,1804.24221329141,0.145365,1098
30,2011-01-30,1,0,1,0,Monday,0,Clear,2.393056,0.250322,2719.99054830989,0.0739826,1096
31,2011-01-31,1,0,1,0,Tuesday,1,Few clouds,48.679984,0.18625,1328.70501760254,,1501
32,2011-02-01,1,0,2,0,Wednesday,1,Few clouds,1.224352,0.23453,4735.89082489372,0.053213,1360
33,2011-02-02,1,0,2,0,Thursday,1,Few clouds,4.48,0.254417,3615.274454398,0.264308,1526
34,2011-02-03,1,0,2,0,Friday,1,Clear,0.973936,0.177878,367.45671916673,0.277752,1550
35,2011-02-04,1,0,2,0,Saturday,1,Few clouds,2.142592,0.228587,1172.91822349611,0.127839,1708
36,2011-02-05,1,0,2,0,Sunday,0,Few clouds,3.199984,0.243058,7453.75491193863,0.161079,1005
37,2011-02-06,1,0,2,0,Monday,0,Clear,5.719984,0.291671,1043.30549688049,0.1418,1623
38,2011-02-07,1,0,2,0,Tuesday,1,Clear,5.040016,0.303658,2971.72842981493,,1712
39,2011-02-08,1,0,2,0,Wednesday,1,Clear,2.599984,0.198246,837.261417691439,0.36195,1530
40,2011-02-09,1,0,2,0,Thursday,1,Few clouds,-1.530416,0.144283,599.320423911633,0.188839,1605
41,2011-02-10,1,0,2,0,Friday,1,Clear,-1.071296,0.149548,365.998554391948,0.221935,1538
42,2011-02-11,1,0,2,0,Saturday,1,,1.076368,0.213509,657.432678746033,0.10855,1746
43,2011-02-12,1,0,2,0,Sunday,0,Clear,2.68,0.232954,876.85706401202,,1472
44,2011-02-13,1,0,2,0,Monday,0,Clear,7.193056,0.324113,437.673708896106,0.260883,1589
45,2011-02-14,1,0,2,0,Tuesday,1,Clear,,0.39835,199.516878988395,0.417908,1913
46,2011-02-15,1,0,2,0,Wednesday,1,Clear,,0.254274,97.6433803961568,0.291374,1815
47,2011-02-16,1,0,2,0,Thursday,1,Clear,,0.3162,321.605460012304,0.251791,2115
48,2011-02-17,1,0,2,0,Friday,1,Clear,12.919984,0.428658,650.37750625,0.230104,2475
49,2011-02-18,1,0,2,0,Saturday,1,Clear,17.040016,0.511983,712.595203149928,0.264925,2927
50,2011-02-19,1,0,2,0,Sunday,0,Clear,11.160016,0.391404,12.4699376537496,0.507463,1635
51,2011-02-20,1,0,2,0,Monday,0,Clear,5.690416,0.27733,276.630230774359,0.223235,1812
52,2011-02-21,1,0,2,1,Tuesday,0,Few clouds,6.559984,0.284075,1339.74300625,0.307846,1107
53,2011-02-22,1,0,2,0,Wednesday,1,Clear,0.746656,0.186033,1114.40744530506,0.195683,1450
54,2011-02-23,1,0,2,0,Thursday,1,Clear,2.643472,0.245717,320.286071844969,0.094113,1917
55,2011-02-24,1,0,2,0,Friday,1,Few clouds,,0.289191,2365.40414550847,0.250496,1807
56,2011-02-25,1,0,2,0,Saturday,1,Few clouds,9.488704,0.350461,2572.43528353511,0.346539,1461
57,2011-02-26,1,0,2,0,Sunday,0,Clear,5.56,0.282192,837.261417691439,0.186571,1969
58,2011-02-27,1,0,2,0,Monday,0,Clear,8.486944,0.351109,2138.1376,0.125248,2402
59,2011-02-28,1,0,2,0,Tuesday,1,Few clouds,11.549104,0.400118,5898.4528991397,0.289686,1446
60,2011-03-01,1,0,3,0,Wednesday,1,Clear,4.800016,0.263879,819.24750625,0.216425,1851
61,2011-03-02,1,0,3,0,Thursday,1,Clear,8.08,0.320071,408.544646446441,,2134
62,2011-03-03,1,0,3,0,Friday,1,Clear,1.519984,0.200133,102.689644036416,0.225754,1685
63,2011-03-04,1,0,3,0,Saturday,1,Few clouds,4.560016,0.255679,1388.3740270954,0.203346,1944
64,2011-03-05,1,0,3,0,Sunday,0,Few clouds,10.440016,0.378779,3878.60600562721,0.251871,2077
65,2011-03-06,1,0,3,0,Monday,0,Few clouds,10.073056,0.366252,8085.58705140364,0.343287,605
66,2011-03-07,1,0,3,0,Tuesday,1,Clear,4.563472,0.238461,923.771531360849,0.341352,1872
67,2011-03-08,1,0,3,0,Wednesday,1,Clear,6.04,0.3024,313.645565996551,,2133
68,2011-03-09,1,0,3,0,Thursday,1,Few clouds,6.199984,0.286608,3615.274454398,0.22015,1891
69,2011-03-10,1,0,3,0,Friday,1,Partialy cloudy,10.676368,0.385668,0,0.261877,623
70,2011-03-11,1,0,3,0,Saturday,1,Few clouds,7.193056,0.305,1780.28881971397,0.23297,1977
71,2011-03-12,1,0,3,0,Sunday,0,Clear,7.800016,0.32575,1249.82714167272,0.220775,2132
72,2011-03-13,1,0,3,0,Monday,0,Clear,10.448704,0.380091,773.625643421677,0.270604,2417
73,2011-03-14,1,0,3,0,Tuesday,1,Clear,7.610416,0.332,609.923335038038,0.136926,2046
74,2011-03-15,1,0,3,0,Wednesday,1,Few clouds,7.234768,0.318178,1847.96423298822,0.184309,2056
75,2011-03-16,1,0,3,0,Thursday,1,Few clouds,9.530416,0.36693,3635.92618464216,0.203117,2192
76,2011-03-17,1,0,3,0,Friday,1,Clear,11.92,0.410333,1321.38726841671,,2744
77,2011-03-18,1,0,3,0,Saturday,1,Clear,17.92,0.527009,760.948208323944,0.231017,3239
78,2011-03-19,1,0,3,0,Sunday,0,Clear,14.68,0.466525,206.691268033366,0.368167,3117
79,2011-03-20,1,0,3,0,Monday,0,Clear,7.96,0.32575,503.728927758789,0.207721,2471
80,2011-03-21,2,0,3,0,Tuesday,1,Few clouds,12.66088,0.409735,2956.59154503456,0.288783,2077
81,2011-03-22,2,0,3,0,Wednesday,1,Clear,13.200016,0.440642,1521.81071433595,0.22575,2703
82,2011-03-23,2,0,3,0,Thursday,1,Few clouds,8.653936,0.337939,4968.40855866425,0.234261,2121
83,2011-03-24,2,0,3,0,Friday,1,Few clouds,5.68,0.270833,4216.77271967688,0.243787,1865
84,2011-03-25,2,0,3,0,Saturday,1,Clear,4.680016,0.256312,600.37250625,0.230725,2210
85,2011-03-26,2,0,3,0,Sunday,0,Clear,4.759984,0.257571,241.390985529138,0.209571,2496
86,2011-03-27,2,0,3,0,Monday,0,Few clouds,,0.250339,595.116276605177,0.1843,1693
87,2011-03-28,2,0,3,0,Tuesday,1,,4.688704,0.257574,83.3735654128651,0.212204,2028
88,2011-03-29,2,0,3,0,Wednesday,1,Clear,,0.292908,97.4186842850561,0.226996,2425
89,2011-03-30,2,0,3,0,Thursday,1,Few clouds,6.4,0.29735,1748.73014389612,0.172888,1536
90,2011-03-31,2,0,3,0,Friday,1,Partialy cloudy,4.879984,0.257575,7112.14763686358,0.217646,1685
91,2011-04-01,2,0,4,0,Saturday,1,Few clouds,6.4,0.283454,2217.83600588379,0.258708,2227
92,2011-04-02,2,0,4,0,Sunday,0,Few clouds,7.12,0.315637,1826.61410744629,0.197146,2252
93,2011-04-03,2,0,4,0,Monday,0,Clear,10.159984,0.378767,530.8416,0.182213,3249
94,2011-04-04,2,0,4,0,Tuesday,1,Clear,19.519984,0.542929,330.109154321289,0.385571,3115
95,2011-04-05,2,0,4,0,Wednesday,1,Few clouds,11.880016,0.39835,1699.67030217471,0.388067,1795
